class_name,MTH,FLD,RFC,INT,SZ,CPX,EX,RET,BCM,NML,WRD,DCM,buggy
ClosureOptimizePrimitives,3,1,34,0,13,4,0,3,6,18.0,80,6.153846153846154,0
FunctionTypeBuilder,20,32,228,1,29,14,1,4,27,17.2,672,23.17241379310345,1
DotFormatter,12,8,91,0,22,5,0,2,8,9.5,239,10.863636363636363,0
CrossModuleCodeMotion,8,5,113,0,20,9,0,10,12,13.125,227,11.35,0
JSSourceFile,10,2,13,0,1,0,0,1,1,10.6,36,36.0,0
ComposeWarningsGuard,8,6,33,0,8,4,0,3,3,10.0,96,12.0,0
VariableReferenceCheck,2,6,49,0,1,0,0,0,3,10.0,113,113.0,0
ReplaceMessages,8,3,100,0,14,6,2,4,7,19.0,432,30.857142857142858,0
CleanupPasses,4,4,16,0,4,0,0,1,2,16.25,56,14.0,0
InlineVariables,2,4,244,0,5,1,1,3,24,11.5,506,101.2,1
ProcessCommonJSModules,6,8,113,0,8,1,1,1,11,12.833333333333334,212,26.5,1
SanityCheck,5,4,32,0,9,3,2,2,4,17.0,91,10.11111111111111,0
SuppressDocWarningsGuard,2,2,17,0,15,10,0,2,3,8.0,31,2.066666666666667,0
PeepholeSubstituteAlternateSyntax,47,10,634,0,73,20,0,19,37,20.148936170212767,981,13.438356164383562,1
AstChangeProxy,6,1,24,1,14,4,0,0,9,13.666666666666666,74,5.285714285714286,0
DiagnosticGroupWarningsGuard,4,3,10,0,5,3,0,2,1,7.0,13,2.6,0
JqueryCodingConvention,3,3,15,0,2,0,0,1,1,17.666666666666668,8,4.0,0
InferJSDocInfo,5,2,58,0,27,13,0,1,3,15.8,190,7.037037037037037,0
SpecializeModule,8,5,125,0,13,4,0,1,32,26.625,1470,113.07692307692308,0
SideEffectsAnalysis,9,4,92,1,14,6,1,9,42,17.77777777777778,1355,96.78571428571428,0
AmbiguateProperties,10,13,195,0,22,8,1,3,26,15.3,543,24.681818181818183,1
SourceFile,30,7,79,1,20,7,1,5,22,11.133333333333333,473,23.65,1
LineNumberCheck,4,3,13,0,5,3,0,1,1,10.25,26,5.2,0
OptimizeCalls,2,2,6,1,4,2,0,1,1,7.0,36,9.0,0
CrossModuleMethodMotion,2,8,53,0,23,10,0,0,6,9.0,88,3.8260869565217392,1
Compiler,155,54,737,0,53,18,3,6,102,14.870967741935484,1625,30.660377358490567,1
NodeNameExtractor,1,2,27,0,18,5,0,11,2,7.0,101,5.611111111111111,0
TypedCodeGenerator,5,0,104,0,40,15,0,6,3,16.4,41,1.025,0
TypeInferencePass,4,6,27,0,5,0,0,1,3,10.25,54,10.8,0
SyntheticAst,5,4,9,0,3,0,1,1,1,10.8,13,4.333333333333333,0
CombinedCompilerPass,7,2,27,0,3,1,0,1,8,9.428571428571429,288,96.0,0
RuntimeTypeCheck,3,3,132,0,3,1,0,1,7,10.333333333333334,343,114.33333333333331,1
VariableMap,14,3,55,0,10,3,2,2,13,11.571428571428571,160,16.0,0
MustBeReachingVariableDef,12,3,124,0,39,14,0,3,8,14.833333333333334,316,8.102564102564102,1
StripCode,2,8,138,0,1,0,0,0,21,13.5,950,950.0,0
TransformAMDToCJSModule,3,6,117,0,1,0,0,1,10,16.0,168,168.0,0
PeepholeCollectPropertyAssignments,9,0,96,0,20,9,1,7,1,17.555555555555557,43,2.15,0
CheckProvides,2,4,36,0,1,0,0,0,1,10.0,8,8.0,0
ScopedAliases,2,11,161,1,14,6,0,0,4,10.0,82,5.857142857142857,1
JsMessage,14,11,76,1,7,2,0,3,37,8.285714285714286,877,125.28571428571428,0
ConcreteType,22,5,188,1,9,4,0,3,69,12.136363636363637,1130,125.55555555555556,0
GatherSideEffectSubexpressionsCallback,7,3,95,1,16,7,1,7,15,17.0,374,23.375,0
NodeIterators,0,0,59,0,0,0,0,0,10,0.0,228,0.0,0
PureFunctionIdentifier,9,8,297,0,27,13,1,7,37,15.444444444444445,652,24.14814814814815,1
CallGraph,21,9,117,0,13,7,1,3,43,20.666666666666668,1378,106.0,0
LoggerErrorManager,2,2,18,0,6,2,0,0,3,9.5,45,7.5,0
CheckAccessControls,24,20,251,0,23,13,0,5,19,19.041666666666668,488,21.217391304347824,1
NameAnalyzer,25,17,534,1,44,15,2,9,88,16.8,2034,46.22727272727273,1
PerformanceTracker,9,10,106,0,61,6,1,1,7,15.11111111111111,70,1.147540983606557,0
SimpleFunctionAliasAnalysis,4,2,30,0,8,4,0,1,5,14.5,109,13.625,0
CheckMissingGetCssName,6,6,37,0,9,5,0,4,4,14.833333333333334,76,8.444444444444445,0
ErrorPass,1,2,3,0,1,0,0,0,1,7.0,8,8.0,0
SourceInformationAnnotator,2,2,20,0,14,5,0,0,1,10.0,70,5.0,0
MoveFunctionDeclarations,3,2,22,0,9,3,0,1,1,8.666666666666666,66,7.333333333333333,0
StrictWarningsGuard,2,2,5,0,3,1,0,2,1,8.0,13,4.333333333333333,0
NameReferenceGraphConstruction,7,5,222,0,8,4,1,2,13,17.0,209,26.125,0
ExportTestFunctions,4,4,53,0,6,1,0,1,4,18.75,139,23.166666666666668,0
AstValidator,64,1,390,1,38,3,0,0,1,17.296875,18,0.4736842105263157,0
ChainCalls,1,6,45,0,8,1,0,0,4,7.0,39,4.875,0
InlineSimpleMethods,12,2,73,0,7,3,0,4,13,17.0,313,44.714285714285715,0
MaybeReachingVariableUse,9,2,73,0,35,10,0,2,7,15.555555555555555,349,9.971428571428572,1
PeepholeReplaceKnownMethods,17,2,297,0,56,18,0,13,17,19.352941176470587,195,3.482142857142857,1
DevirtualizePrototypeMethods,13,2,141,0,24,11,1,12,10,16.923076923076923,398,16.583333333333332,1
TightenTypes,19,8,530,1,60,13,1,6,53,17.05263157894737,1102,18.366666666666667,0
CreateSyntheticBlocks,5,8,53,0,8,2,0,2,8,12.4,93,11.625,0
NodeTraversal,36,12,164,2,15,4,0,3,49,12.805555555555555,729,48.6,1
PhaseOptimizer,14,17,67,0,12,4,1,1,19,11.714285714285714,304,25.333333333333332,0
CheckMissingReturn,8,5,45,0,9,4,0,5,6,14.125,130,14.444444444444445,0
CheckDebuggerStatement,2,2,6,0,2,1,0,0,1,6.0,40,20.0,0
InlineCostEstimator,2,2,11,0,2,0,0,1,5,7.0,71,35.5,1
IgnoreCajaProperties,1,2,33,0,1,0,0,0,1,7.0,77,77.0,0
AnonymousFunctionNamingCallback,2,1,29,1,9,5,0,0,5,14.5,97,10.77777777777778,0
AliasStrings,9,11,86,0,20,8,0,3,17,18.444444444444443,451,22.55,0
DisambiguateProperties,10,7,350,1,15,5,0,1,47,17.0,1007,67.13333333333334,1
CollapseAnonymousFunctions,1,1,39,0,1,0,0,0,1,7.0,42,42.0,0
WhitelistWarningsGuard,11,3,71,0,9,3,1,2,17,15.363636363636363,326,36.22222222222222,0
AstParallelizer,6,7,41,0,13,3,0,4,6,16.666666666666668,250,19.23076923076923,0
DefinitionsRemover,2,0,77,0,16,8,0,8,18,14.5,245,15.3125,0
OptimizeArgumentsArray,7,7,61,0,24,10,0,4,5,10.571428571428571,127,5.291666666666667,0
VariableNameGenerator,1,2,3,0,2,1,0,1,1,14.0,14,7.0,0
LinkedFlowScope,17,7,117,0,19,10,1,8,14,13.176470588235292,254,13.36842105263158,0
ConstCheck,4,3,36,0,17,9,0,1,4,8.25,46,2.7058823529411766,0
BasicErrorManager,11,4,23,0,5,3,0,1,4,11.272727272727272,127,25.4,0
DeadAssignmentsElimination,10,3,139,0,42,16,0,11,5,18.1,285,6.785714285714286,1
Scope,26,7,85,0,6,2,0,3,52,11.692307692307692,802,133.66666666666666,1
PassFactory,4,2,0,0,1,0,0,1,6,10.0,119,119.0,0
Denormalize,4,1,41,0,23,9,0,1,2,14.0,77,3.347826086956522,0
ReferenceCollectingCallback,11,6,151,2,8,4,0,3,41,10.818181818181818,700,87.5,1
NameAnonymousFunctionsMapped,2,9,22,0,4,1,0,1,3,10.5,125,31.25,0
JsMessageVisitor,24,26,230,0,46,13,9,3,27,21.708333333333332,1017,22.10869565217391,0
OptimizeParameters,17,2,135,0,18,8,0,8,13,19.058823529411764,278,15.444444444444445,0
CodeConsumer,34,3,67,0,15,7,0,1,11,12.205882352941176,252,16.8,1
TypedScopeCreator,8,17,749,0,20,5,0,2,48,18.5,1509,75.45,1
RenameVars,10,21,114,0,23,7,1,3,26,16.0,386,16.782608695652176,1
ProcessTweaks,6,13,141,0,9,4,0,1,13,23.5,296,32.888888888888886,0
FunctionInjector,18,9,164,0,25,10,4,6,33,20.666666666666668,778,31.12,1
ControlFlowGraph,6,2,17,0,9,2,0,7,16,18.166666666666668,309,34.333333333333336,0
ExpandJqueryAliases,10,9,274,0,36,15,0,3,6,21.7,184,5.111111111111111,0
ProcessClosurePrimitives,21,23,422,0,36,17,0,4,30,20.19047619047619,559,15.52777777777778,1
CheckGlobalThis,4,3,41,0,18,11,0,6,4,13.75,222,12.333333333333334,1
WarningsGuard,4,0,0,0,1,0,0,1,5,7.75,292,292.0,0
FlowSensitiveInlineVariables,6,7,139,0,18,5,0,2,9,9.0,310,17.22222222222222,1
NameAnonymousFunctions,1,5,11,0,2,0,0,0,3,7.0,100,50.0,0
SimpleRegion,3,3,3,0,1,0,0,1,1,19.0,2,2.0,0
CheckGlobalNames,9,9,85,0,16,9,0,6,5,18.22222222222222,113,7.0625,0
InvocationsCallback,2,0,9,0,7,3,0,0,2,5.0,56,8.0,0
AbstractMessageFormatter,5,3,8,0,4,1,0,3,2,12.4,20,5.0,0
ExtractPrototypeMemberDeclarations,4,3,75,0,10,4,0,0,9,16.75,367,36.7,0
Result,0,13,0,0,0,0,0,0,1,0.0,2,0.0,0
CodeGenerator,32,8,515,0,335,50,7,4,16,15.0625,291,0.8686567164179104,1
ReplaceStrings,17,12,133,0,24,8,0,3,17,15.411764705882351,447,18.625,0
ShowByPathWarningsGuard,2,2,8,0,1,0,0,1,2,8.0,33,33.0,0
CollapseProperties,22,8,291,0,30,10,0,2,23,26.227272727272727,1339,44.63333333333333,1
FunctionArgumentInjector,11,1,129,0,24,9,0,3,14,21.727272727272727,552,23.0,0
TypeInference,49,9,557,0,65,14,0,3,21,18.897959183673468,658,10.123076923076924,1
RemoveUnusedPrototypeProperties,4,5,18,0,14,7,0,3,4,20.0,87,6.214285714285714,0
RecordFunctionInformation,4,4,41,0,7,2,0,1,5,9.5,105,15.0,0
LightweightMessageFormatter,4,2,52,0,20,6,0,1,3,10.75,56,2.8,1
RemoveUnusedNames,2,3,14,0,6,3,0,0,3,14.5,37,6.166666666666667,0
CodingConventions,1,0,64,0,1,0,0,1,4,10.0,81,81.0,0
GlobalVarReferenceMap,7,2,71,0,11,3,0,2,9,21.428571428571427,268,24.363636363636363,0
InlineObjectLiterals,1,3,174,0,1,0,0,0,10,7.0,233,233.0,1
FunctionToBlockMutator,14,2,131,0,15,6,0,2,15,21.142857142857142,380,25.333333333333332,1
Normalize,5,5,257,0,10,3,1,1,20,21.0,673,67.3,1
JSError,16,8,32,0,17,8,0,9,21,8.0,372,21.88235294117647,0
AliasKeywords,9,11,100,0,6,3,0,3,30,17.77777777777778,673,112.16666666666669,0
NodeUtil,156,13,872,1,43,18,2,42,141,16.80128205128205,3133,72.86046511627907,1
SourceMap,8,3,42,0,12,5,0,3,4,12.75,49,4.083333333333333,1
InlineProperties,5,4,119,0,8,4,0,3,5,15.4,125,15.625,0
CompilerOptions,209,167,267,2,11,4,1,1,221,21.406698564593302,2694,244.9090909090909,1
ReorderConstantExpression,1,0,17,0,8,3,0,1,1,15.0,31,3.875,0
GoogleJsMessageIdGenerator,1,1,15,0,6,2,0,1,6,10.0,186,31.0,0
GenerateExports,3,4,58,0,20,8,0,1,3,10.0,55,2.75,0
GoogleCodingConvention,7,4,27,0,7,3,0,3,8,13.285714285714286,212,30.285714285714285,0
AliasExternals,16,15,205,0,19,10,0,3,36,15.6875,1005,52.89473684210526,0
CheckSuspiciousCode,5,2,30,0,7,2,0,0,1,12.2,32,4.571428571428571,0
PeepholeRemoveDeadCode,28,0,377,0,50,16,0,12,27,16.75,448,8.96,0
InstrumentFunctions,1,10,98,0,13,4,0,0,7,7.0,376,28.923076923076923,0
MakeDeclaredNamesUnique,7,3,146,1,14,4,0,2,22,14.285714285714286,342,24.428571428571427,1
ReplaceIdGenerators,6,10,132,1,21,6,0,4,2,17.666666666666668,27,1.2857142857142858,0
CommandLineRunner,10,3,156,0,32,7,1,2,8,15.1,381,11.90625,1
ExternExportsPass,6,10,163,0,11,6,0,1,21,14.333333333333334,329,29.90909090909091,0
SyntacticScopeCreator,6,7,90,1,23,6,0,2,8,15.666666666666666,127,5.521739130434782,1
ExploitAssigns,6,0,63,0,31,8,0,8,6,16.833333333333332,206,6.645161290322581,1
ClosureCodingConvention,24,4,135,0,19,9,0,7,11,21.125,193,10.157894736842104,1
DependencyOptions,9,5,7,0,3,0,0,1,6,18.22222222222222,350,116.66666666666669,0
TypeValidator,33,17,246,0,18,10,0,5,27,17.424242424242426,1079,59.94444444444444,1
SimpleDefinitionFinder,13,4,138,0,12,7,0,5,10,17.846153846153847,239,19.916666666666668,0
JsAst,6,6,30,0,10,1,0,1,1,9.833333333333334,8,0.8,1
RenameProperties,5,14,149,0,31,9,0,1,17,14.6,543,17.516129032258064,0
Warning,4,2,4,0,1,0,0,1,1,8.0,8,8.0,0
AntErrorManager,2,2,12,0,6,1,0,0,1,9.5,14,2.3333333333333335,0
CompileTask,35,20,141,0,18,5,2,1,29,15.114285714285714,388,21.555555555555557,0
SecureCompiler,7,7,27,0,14,3,1,2,6,12.857142857142858,168,12.0,0
Writer,40,0,319,0,155,4,1,2,4,13.625,90,0.5806451612903226,0
Validator,50,7,153,0,80,4,0,1,3,16.9,101,1.2625,0
JsonMLAst,9,6,26,0,13,4,1,3,3,12.11111111111111,75,5.769230769230769,0
Reader,77,7,423,0,106,6,3,4,31,17.5974025974026,502,4.735849056603773,0
JsonMLUtil,5,0,51,0,17,7,0,2,8,11.0,232,13.647058823529411,0
JsonML,22,3,79,0,25,7,1,1,22,11.272727272727272,349,13.96,0
JsonMLException,0,1,0,0,0,0,0,0,1,0.0,15,0.0,0
NodeUtil,4,0,13,0,4,1,0,2,5,16.75,94,23.5,1
JsonMLError,2,5,4,0,1,0,0,1,6,4.0,35,35.0,0
LinkedDirectedGraph,35,3,145,0,7,4,1,3,9,15.771428571428572,125,17.857142857142858,0
DiGraph,15,0,6,2,1,0,0,1,9,18.2,188,188.0,0
GraphReachability,3,3,20,0,5,2,0,2,3,9.333333333333334,76,15.2,0
FixedPointGraphTraversal,4,2,30,1,8,4,0,1,7,15.75,203,25.375,0
Graph,24,2,35,1,4,1,1,1,29,13.625,706,176.5,0
GraphPruner,2,1,38,0,14,9,0,1,1,7.5,89,6.357142857142857,0
LinkedUndirectedGraph,27,3,110,0,9,5,1,4,5,14.407407407407408,70,7.777777777777778,0
UndiGraph,4,0,0,2,0,0,0,0,4,23.25,79,0.0,0
StandardUnionFind,9,2,51,0,11,3,0,7,12,9.88888888888889,257,23.363636363636363,0
GraphColoring,3,2,27,0,5,1,0,2,5,11.333333333333334,214,42.8,0
CharRanges,18,3,44,0,35,11,2,4,5,8.61111111111111,196,5.6,0
RegExpTree,16,12,433,0,187,49,5,31,24,12.8125,340,1.818181818181818,0
CaseCanonicalize,4,4,209,0,7,4,0,3,8,16.25,502,71.71428571428571,0
TestErrorReporter,5,4,9,0,3,1,0,1,3,14.4,53,17.666666666666668,0
SimpleSourceExcerptProvider,2,1,5,0,1,0,0,1,1,14.0,13,13.0,0
Protocol,2,3,15,1,3,1,0,1,14,18.5,219,73.0,0
AbstractWebServiceException,3,0,5,0,1,0,0,1,1,12.333333333333334,15,15.0,0
ClosureReverseAbstractInterpreter,2,5,57,0,6,4,0,2,7,28.0,58,9.666666666666666,1
SemanticReverseAbstractInterpreter,11,5,149,0,50,17,0,22,12,18.545454545454547,253,5.06,1
ChainableReverseAbstractInterpreter,11,6,114,0,16,7,1,6,22,22.363636363636363,643,40.1875,1
JsFileParser,5,8,32,0,16,7,0,2,11,11.2,245,15.3125,0
DepsGenerator,19,12,121,0,11,7,0,3,13,18.94736842105263,337,30.636363636363637,0
JsFileLineParser,6,9,49,0,33,10,3,1,15,12.833333333333334,286,8.666666666666666,0
JsFunctionParser,4,5,24,0,10,4,0,1,9,9.75,117,11.7,0
PathUtil,6,2,44,0,13,6,1,4,7,13.5,424,32.61538461538461,0
SimpleDependencyInfo,6,4,13,0,3,1,0,2,6,11.833333333333334,109,36.333333333333336,0
DepsFileParser,4,5,32,0,11,4,1,1,11,10.5,242,22.0,0
SortedDependencies,11,4,97,0,17,7,1,3,7,17.727272727272727,220,12.941176470588236,0
JsDocInfoParser,58,15,775,0,347,99,1,18,54,18.29310344827586,1087,3.132564841498559,1
ParserRunner,7,4,36,0,19,1,0,1,2,12.142857142857142,40,2.1052631578947367,0
JsDocTokenStream,20,19,55,0,69,16,0,23,5,11.35,59,0.855072463768116,0
TypeSafeDispatcher,44,0,57,0,55,9,4,42,1,19.204545454545453,51,0.9272727272727272,0
IRFactory,29,19,540,0,88,4,1,86,8,15.586206896551724,224,2.5454545454545454,1
Config,1,6,6,0,5,2,0,1,9,20.0,78,15.6,0
NullErrorReporter,4,0,2,0,1,0,0,1,1,8.5,11,11.0,0
